     Time(s)     Power(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
     3147.70        16.74        19.45        19.25        23.82        19.63        23.80
     3148.95        16.74        19.45        19.25        23.82        19.48        23.75
     3150.20        16.74        19.29        19.25        23.82        19.63        23.85
     3151.46        16.89        19.45        19.25        23.82        19.63        23.75
     3152.71        16.74        19.45        19.25        23.82        19.63        23.75
     3153.97        16.74        19.29        19.11        23.82        19.63        23.75
     3155.24        16.89        19.45        19.25        23.97        19.48        23.75
     3156.49        16.74        19.29        19.11        23.97        19.63        23.75
     3157.76        16.89        19.29        19.25        23.97        19.63        23.80
     3159.02        16.74        19.29        19.25        23.82        19.63        23.70
     3160.28        16.89        19.29        19.11        23.97        19.48        23.75
     3161.54        16.89        19.29        19.25        23.97        19.48        23.75
     3162.81        16.89        19.45        19.25        23.97        19.63        23.75
     3164.09        16.89        19.45        19.25        23.97        19.48        23.75
     3165.34        16.74        19.45        19.25        23.97        19.48        23.70
     3166.61        16.74        19.45        19.25        23.82        19.63        23.75
     3167.87        16.89        19.45        19.25        23.97        19.63        23.75
     3169.13        16.89        19.29        19.25        23.82        19.63        23.75
     3170.38        16.74        19.45        19.25        23.97        19.63        23.75
